category,price_dh,city,district,surface_m2,rooms,bathrooms,floor,property_age_years,price_per_m2
Appartement,51045000.0,Agadir,Tassila,96,3.0,0.0,,,531718.75
Appartement,21200000.0,Rabat,Autre secteur,107,3.0,2.0,,,198130.84112149532
Appartement,41498000.0,Marrakech,Guéliz,65,1.0,1.0,,,638430.7692307692
Appartement,11100000.0,Kénitra,Mimosas,110,3.0,2.0,,,100909.09090909091
Appartement,311500.0,Marrakech,Hivernage,105,3.0,2.0,,,2966.6666666666665
Appartement,960000.0,Temara,Autre secteur,128,3.0,1.0,,,7500.0
Appartement,212000.0,Marrakech,Autre secteur,83,2.0,2.0,,,2554.2168674698796
Appartement,11500000.0,Marrakech,Guéliz,61,1.0,1.0,,,188524.59016393442
Appartement,5750000.0,Casablanca,Casablanca Finance City,58,1.0,0.0,,,99137.93103448275
Appartement,21500000.0,Casablanca,Bachkou,106,2.0,2.0,,,202830.18867924527
Appartement,2940000.0,El Mansouria,Toute la ville,78,2.0,2.0,,,37692.307692307695
Villa_Riad,3600000.0,Marrakech,Route de Tahanaoute,260,3.0,4.0,,,13846.153846153846
Villa_Riad,3669000.0,Marrakech,Route de Tahanaoute,246,3.0,4.0,,,14914.634146341463
Villa_Riad,1900000.0,Tétouan,Autre secteur,1400,4.0,2.0,,,1357.142857142857
Villa_Riad,8000000.0,Marrakech,Bouaakkaz,487,6.0,5.0,,,16427.104722792606
Villa_Riad,1100000.0,Fès,Oued Fès,300,3.0,2.0,,,3666.6666666666665
Villa_Riad,8300000.0,Marrakech,Hivernage,1450,5.0,5.0,,,5724.137931034483
Villa_Riad,3900000.0,El Mansouria,Toute la ville,250,4.0,3.0,,,15600.0
Villa_Riad,4900000.0,Agadir,Haut-Founty,550,5.0,6.0,,,8909.09090909091
Villa_Riad,3500000.0,Marrakech,Route d'Ourika,300,5.0,3.0,,,11666.666666666668
Villa_Riad,5350000.0,Fès,Centre,322,4.0,5.0,,,16614.906832298137
Villa_Riad,2200000.0,Marrakech,Hay Targa,340,5.0,4.0,,,6470.588235294118
Villa_Riad,6350000.0,Dar Bouazza,Toute la ville,460,5.0,4.0,,,13804.347826086958
Villa_Riad,8700000.0,Temara,Harhoura,324,4.0,4.0,,,26851.85185185185
Villa_Riad,2850000.0,Dakhla,Toute la ville,298,5.0,5.0,,,9563.758389261746
Villa_Riad,6700000.0,Marrakech,Route d'Amezmiz,1000,5.0,6.0,,,6700.0
Villa_Riad,6500000.0,El Menzeh,Toute la ville,480,4.0,4.0,,,13541.666666666668
Villa_Riad,2600000.0,Asilah,Toute la ville,210,5.0,2.0,,,12380.952380952382
